id,year,month,nombre,codigoruta,nombreruta,pasajerosadultomayor,pasajerosregulares,pasajerostotales,cant_feriados,nombres_feriados,es_feriado_mes,precipitacion_mm,temperatura_c,dia_semana,es_fin_semana,trimestre,temporada,nivel_precipitacion,feriado_finde,periodo_escolar,ruta_promedio_pasajeros,proporcion_adultos_mayor,year_norm
707,2021,1,"MUSOC, S.A.",100,SAN JOSE-CARTAGO-EL EMPALME-DOTA-TARRAZU-LEON CORTES-SAN ISIDRO DE EL GENERAL Y VICEVERSA,0,0,0,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,8674.785310734464,0.0,0
729,2021,1,"RUTAS DEL SUR, S.A.",330,CARTAGO-CORRALILLO-SAN ANTONIO-SANTA ELENA ARRIBA-SANTA ELENA ABAJO-RÍO CONEJO Y VICEVERSA,526,12002,12528,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,14000.027777777777,0.041982600367148216,0
762,2021,1,"SERVICIOS URBANOS DE OREAMUNO, S.A.",325,CARTAGO-SAN RAFAEL DE OREAMUNO-MARIA AUXILIADORA-AGROPECUARIO,2294,26993,29287,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,18745.9,0.07832559409997268,0
763,2021,1,"SERVICIOS URBANOS DE OREAMUNO, S.A.",325,CARTAGO-SAN RAFAEL DE OREAMUNO-MARIA AUXILIADORA-AGROPECUARIO,1202,15596,16798,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,18745.9,0.07155187808798143,0
764,2021,1,"SERVICIOS URBANOS DE OREAMUNO, S.A.",325,CARTAGO-SAN RAFAEL DE OREAMUNO-MARIA AUXILIADORA-AGROPECUARIO,497,5800,6297,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,18745.9,0.07891394093362972,0
765,2021,1,"SERVICIOS URBANOS DE OREAMUNO, S.A.",325,CARTAGO-SAN RAFAEL DE OREAMUNO-MARIA AUXILIADORA-AGROPECUARIO,84,1010,1094,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,18745.9,0.07671232876712329,0
766,2021,1,"SERVICIOS URBANOS DE OREAMUNO, S.A.",325,CARTAGO-SAN RAFAEL DE OREAMUNO-MARIA AUXILIADORA-AGROPECUARIO,0,0,0,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,18745.9,0.0,0
767,2021,1,"SERVICIOS URBANOS DE OREAMUNO, S.A.",343,CARTAGO-SANTA ROSA DE OREAMUNO-SAN PABLO Y VICEVERSA,281,4213,4494,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,5337.05785123967,0.0625139043381535,0
768,2021,1,"SERVICIOS URBANOS DE OREAMUNO, S.A.",343,CARTAGO-SANTA ROSA DE OREAMUNO-SAN PABLO Y VICEVERSA,217,3395,3612,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,5337.05785123967,0.06006089122612787,0
769,2021,1,"SERVICIOS URBANOS DE OREAMUNO, S.A.",343,CARTAGO-SANTA ROSA DE OREAMUNO-SAN PABLO Y VICEVERSA,264,4043,4307,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,5337.05785123967,0.06128133704735376,0
