id,year,month,nombre,codigoruta,nombreruta,pasajerosadultomayor,pasajerosregulares,pasajerostotales
6965,2021,6,"TRANSPORTES UNIDOS SAN NICOLAS TRAUSANIC, S. A.",323,CARTAGO-TARAS-SAN NICOLAS-LA LIMA-OCHOMOGO,3611,33745,37356
6976,2021,6,"VIDAL ENRIQUE Y MINOR, S.A.(VEMSA)",366,CARTAGO-LLANO GRANDE,99,956,1055
6977,2021,6,"VIDAL ENRIQUE Y MINOR, S.A.(VEMSA)",366,CARTAGO-LLANO GRANDE,206,4304,4510
7003,2021,7,"AUTOBUSES ROMERO, S.A.",334,CARTAGO-CABALLO BLANCO-DULCE NOMBRE-BLANQUILLO Y VICEVERSA,1631,16737,18368
7004,2021,7,"AUTOBUSES ROMERO, S.A.",334,CARTAGO-CABALLO BLANCO-DULCE NOMBRE-BLANQUILLO Y VICEVERSA,265,3487,3752
7099,2021,7,"AUTOTRANSPORTES EL GUARCO, S.A.",328,"CARTAGO – TEJAR – SAN ISIDRO – HIGUITO – PARQUE INDUSTRIAL Y VICEVERSA, DISTRITOS GUAYABAL – HACIENDA VIEJA – CARTAGO Y VICEVERSA, CATALINAS – SANTA GERTRUDIS – CARTAGO Y VICEVERSA (APROVECHA EL SERVICIO DEL PARQUE INDUSTRIAL) Y GUATUSO – SAN ISIDRO – CARTAGO Y VICEVERSA",178,2910,3088
7100,2021,7,"AUTOTRANSPORTES EL GUARCO, S.A.",328,"CARTAGO – TEJAR – SAN ISIDRO – HIGUITO – PARQUE INDUSTRIAL Y VICEVERSA, DISTRITOS GUAYABAL – HACIENDA VIEJA – CARTAGO Y VICEVERSA, CATALINAS – SANTA GERTRUDIS – CARTAGO Y VICEVERSA (APROVECHA EL SERVICIO DEL PARQUE INDUSTRIAL) Y GUATUSO – SAN ISIDRO – CARTAGO Y VICEVERSA",1133,5878,7011
7101,2021,7,"AUTOTRANSPORTES EL GUARCO, S.A.",328,"CARTAGO – TEJAR – SAN ISIDRO – HIGUITO – PARQUE INDUSTRIAL Y VICEVERSA, DISTRITOS GUAYABAL – HACIENDA VIEJA – CARTAGO Y VICEVERSA, CATALINAS – SANTA GERTRUDIS – CARTAGO Y VICEVERSA (APROVECHA EL SERVICIO DEL PARQUE INDUSTRIAL) Y GUATUSO – SAN ISIDRO – CARTAGO Y VICEVERSA",6134,44568,50702
7102,2021,7,"AUTOTRANSPORTES EL GUARCO, S.A.",328,"CARTAGO – TEJAR – SAN ISIDRO – HIGUITO – PARQUE INDUSTRIAL Y VICEVERSA, DISTRITOS GUAYABAL – HACIENDA VIEJA – CARTAGO Y VICEVERSA, CATALINAS – SANTA GERTRUDIS – CARTAGO Y VICEVERSA (APROVECHA EL SERVICIO DEL PARQUE INDUSTRIAL) Y GUATUSO – SAN ISIDRO – CARTAGO Y VICEVERSA",518,4576,5094
7103,2021,7,"AUTOTRANSPORTES EL GUARCO, S.A.",328,"CARTAGO – TEJAR – SAN ISIDRO – HIGUITO – PARQUE INDUSTRIAL Y VICEVERSA, DISTRITOS GUAYABAL – HACIENDA VIEJA – CARTAGO Y VICEVERSA, CATALINAS – SANTA GERTRUDIS – CARTAGO Y VICEVERSA (APROVECHA EL SERVICIO DEL PARQUE INDUSTRIAL) Y GUATUSO – SAN ISIDRO – CARTAGO Y VICEVERSA",3423,24884,28307
